MONTH,SALES,MonthOrdinal,PREDICTED_SALES
2003-01-01,129753.6,731216,206980.03273135424
2003-02-01,140836.19,731247,217103.72164833546
2003-03-01,174504.9,731275,226247.69873464108
2003-04-01,201609.55,731306,236371.3876516223
2003-05-01,192673.11,731336,246168.50595840812
2003-06-01,168082.56,731367,256292.19487538934
2003-07-01,187731.88,731397,266089.31318214536
2003-08-01,197809.3,731428,276213.0020991266
2003-09-01,263973.36,731459,286336.6910161078
2003-10-01,568290.97,731489,296133.8093228638
2003-11-01,1029837.66,731520,306257.49823984504
2003-12-01,261876.46,731550,316054.61654660106
2004-01-01,316577.42,731581,326178.3054636121
2004-02-01,311419.53,731612,336301.9943805933
2004-03-01,205733.73,731641,345772.5420771241
2004-04-01,206148.12,731672,355896.23099410534
2004-05-01,273438.39,731702,365693.34930086136
2004-06-01,286674.22,731733,375817.0382178426
2004-07-01,327144.09,731763,385614.1565245986
2004-08-01,461501.27,731794,395737.8454416096
2004-09-01,320750.91,731825,405861.53435859084
2004-10-01,552924.25,731855,415658.65266534686
2004-11-01,1089048.01,731886,425782.3415823281
2004-12-01,372802.66,731916,435579.4598890841
2005-01-01,339543.42,731947,445703.1488060653
2005-02-01,358186.18,731978,455826.83772304654
2005-03-01,374262.76,732006,464970.81480935216
2005-04-01,261633.29,732037,475094.5037263632
2005-05-01,457861.06,732067,484891.6220331192
2005-06-01,,732098,495015.3109501004
2005-07-01,,732128,504812.42925685644
2005-08-01,,732159,514936.11817383766
